StudentNumber,time_t,time_t1,t_grade
405587,414,220,4
405587,220,260,5
405587,260,503,6
405587,503,537,7
405587,537,559,8
405587,559,597,9
417855,309,405,3
417855,405,487,4
417855,487,502,5
417855,502,300,6
417855,300,330,7
417855,330,544,8
417855,544,539,9
419934,373,439,4
419934,439,509,5
419934,509,496,6
419934,496,550,7
419934,550,586,8
419934,586,569,9
445477,527,554,3
445477,554,508,4
445477,508,535,5
445477,535,563,6
445477,563,576,7
445477,576,613,8
445477,613,609,9
446739,478,414,7
446739,414,452,8
446739,452,562,9
456273,443,514,4
456273,514,517,5
456273,517,531,6
456273,531,547,7
456273,547,586,8
456273,586,635,9
460442,569,649,3
460442,649,665,4
460442,665,688,5
460442,688,680,6
460442,680,699,7
460442,699,763,8
460442,763,788,9
462663,607,557,6
462663,615,593,9
466856,563,597,4
466856,597,593,5
466856,593,604,6
466856,604,607,7
466856,607,606,8
466856,606,662,9
469769,455,502,3
469769,502,538,4
469769,538,528,5
469769,528,530,6
469769,530,567,7
469769,567,589,8
469769,589,600,9
469887,461,503,3
469887,503,538,4
469887,538,559,5
469887,559,533,6
469887,533,566,7
469887,566,616,8
469887,616,638,9
469967,497,494,7
469967,494,566,8
469967,566,573,9
470289,593,634,5
470289,634,647,6
470289,647,643,7
470289,643,661,8
470289,661,705,9
470416,539,496,5
470416,496,565,6
470416,565,593,7
470416,593,621,8
470416,621,685,9
471318,461,505,3
471318,505,506,4
471318,506,498,5
471318,498,584,6
471318,584,579,7
471318,579,574,8
471318,574,571,9
471663,430,486,3
471663,486,466,4
471663,466,499,5
471663,499,513,6
471663,513,435,7
471663,435,350,8
472363,430,453,3
472363,453,487,4
472363,487,431,5
472363,431,509,6
472363,509,540,7
472363,540,586,8
472363,586,603,9
473977,590,579,3
473977,579,608,4
473977,608,610,5
473977,610,589,6
473977,589,617,7
473977,617,630,8
473982,403,472,3
473982,472,475,4
473982,475,512,5
473982,512,381,6
473982,381,563,7
473982,563,576,8
473982,576,575,9
475141,519,485,3
475141,485,542,4
475141,542,484,5
475141,484,536,6
475141,536,507,7
475865,496,527,3
475865,527,588,4
475865,588,574,5
475865,574,597,6
475865,597,610,7
475865,610,618,8
475865,618,649,9
476085,573,581,9
476161,426,503,3
476161,503,520,4
476161,520,514,5
476161,514,536,6
476161,536,566,7
476161,566,587,8
476161,587,625,9
476398,604,582,3
476398,582,593,4
476398,593,613,5
476398,613,660,6
476398,660,636,7
476398,636,679,8
476398,679,651,9
477364,385,492,3
477364,492,429,4
477364,429,497,5
477364,497,486,6
477364,486,524,7
477364,524,587,8
478372,549,633,3
478372,633,667,4
478372,667,671,5
478372,671,718,6
478372,718,738,7
478372,738,727,8
478372,727,740,9
478438,499,523,3
478438,523,574,4
478438,574,569,5
478438,569,545,6
478438,545,609,7
478438,609,648,8
479124,526,572,7
479124,572,597,8
479124,597,599,9
481274,379,432,3
481274,432,462,4
481274,462,400,5
481274,400,300,6
481274,300,520,7
481274,520,539,8
481274,539,536,9
481641,418,411,3
481641,411,474,4
481641,474,543,5
481641,543,520,6
481641,520,562,7
481641,562,595,8
481641,595,616,9
481686,482,503,3
481686,503,530,4
481686,530,466,5
481686,466,534,6
481686,534,593,7
481686,593,583,8
481686,583,649,9
481857,602,608,3
481857,608,623,4
481857,623,648,5
481857,648,617,6
481857,617,640,7
481857,640,656,8
481857,656,681,9
483088,605,617,3
483088,617,653,4
483088,653,612,5
483088,612,660,6
483088,660,715,7
483088,715,698,8
483088,698,723,9
483962,475,533,3
483962,533,569,4
483962,569,561,5
483962,561,565,6
483962,565,612,7
483962,612,622,8
483962,622,662,9
484052,448,496,3
484052,496,516,4
484052,516,402,5
484052,402,385,6
484052,385,510,7
484052,510,602,8
485789,454,507,3
485789,507,524,4
485789,524,487,5
485789,487,300,6
485789,300,434,7
485789,434,643,8
485868,514,553,3
485868,553,594,4
485868,594,561,5
485868,561,613,6
485868,613,597,7
486367,471,535,3
486367,535,480,4
486367,480,529,5
486367,632,638,9
487350,502,522,3
487350,522,554,4
487350,554,591,5
487350,591,602,6
487350,602,616,7
489341,615,604,3
489341,604,647,4
489341,647,609,5
489341,609,607,6
489341,607,671,7
489824,542,585,8
489824,585,613,9
490319,495,556,3
490319,556,544,4
490319,544,511,5
490319,644,662,9
493482,416,480,3
493482,480,460,4
493482,460,452,5
493482,452,300,6
493482,300,496,7
493482,496,535,8
493482,535,543,9
494288,422,478,3
494288,478,466,4
494288,466,506,5
494288,506,300,6
494288,300,554,7
494288,554,571,8
494288,571,615,9
495684,343,416,4
495684,416,437,5
495684,437,416,6
495684,416,330,7
495684,330,532,8
495684,532,500,9
498005,461,394,3
498005,394,452,4
498005,452,500,5
498005,500,546,6
